fold,method,bottom_model,oos_weights,level,wmape,mape,pinball_loss,bias,wrmsse
backtest_1,base,lgbm_global,False,department,0.10774807590455009,0.16156746539955186,33.63499120481629,-0.02205272042169013,0.6088209654381513
backtest_1,base,lgbm_global,False,category,0.08752817792980905,0.09988639799722526,63.753857600683766,-0.026923902024448585,0.543164332924575
backtest_1,base,lgbm_global,False,store,0.07195657815708417,0.07208774616604506,157.2354027843942,-0.026342850555316346,0.48961631254489724
backtest_1,base,lgbm_global,False,state,0.06512429031292459,0.06515979923085843,569.2235112151398,-0.021191711312231003,0.4472077176366866
backtest_1,base,lgbm_global,False,total,0.06512429031292459,0.06515979923085843,569.2235112151398,-0.021191711312231003,0.4472077176366866
backtest_1,base,lgbm_global,False,item,0.7445625240126006,0.5696930154730758,0.5336095378951758,-0.07572495544714843,0.8357390789586692
backtest_1,bottom_up,lgbm_global,False,department,0.124086629057147,0.15396906318633832,38.73528730730858,-0.0757249554471485,0.6555020284223971
backtest_1,bottom_up,lgbm_global,False,category,0.10597625859115664,0.10322253580714243,77.19108816239675,-0.07572495544714847,0.6115963792079838
backtest_1,bottom_up,lgbm_global,False,store,0.091513598294439,0.08551240526178118,199.97028564453416,-0.07572495544714854,0.5747296436035272
backtest_1,bottom_up,lgbm_global,False,state,0.0859830963869325,0.08274382743722748,751.5413956197253,-0.075724955447149,0.5546846378710266
backtest_1,bottom_up,lgbm_global,False,total,0.0859830963869325,0.08274382743722748,751.5413956197253,-0.075724955447149,0.5546846378710266
backtest_1,bottom_up,lgbm_global,False,item,0.7445625240126006,0.5696930154730758,0.5336095378951758,-0.07572495544714843,0.8357390789586692
backtest_1,top_down,lgbm_global,False,department,0.11836771915402179,0.18930263353096957,36.950053717957495,-0.021191711312230983,0.6651864098674394
backtest_1,top_down,lgbm_global,False,category,0.0997598044599556,0.12100505549945051,72.66314138188004,-0.021191711312231083,0.6044605427601434
backtest_1,top_down,lgbm_global,False,store,0.08473745738897799,0.08564066432583022,185.16344974597249,-0.021191711312231184,0.5507527131163319
backtest_1,top_down,lgbm_global,False,state,0.06512429031292442,0.06515979923085823,569.2235112151383,-0.021191711312230865,0.44720771763668754
backtest_1,top_down,lgbm_global,False,total,0.06512429031292442,0.06515979923085823,569.2235112151383,-0.021191711312230865,0.44720771763668754
backtest_1,top_down,lgbm_global,False,item,0.774639289130739,0.589542129878322,0.5551648112516414,-0.021191711312231003,0.8558551358920834
backtest_1,mint_diagonal,lgbm_global,False,department,0.11631540199509843,0.15203469989657165,36.3093956921842,-0.06367434763973585,0.625463127494701
backtest_1,mint_diagonal,lgbm_global,False,category,0.09740138041837364,0.09967690746061883,70.94531023235443,-0.06367434763973581,0.5755943093852204
backtest_1,mint_diagonal,lgbm_global,False,store,0.0830147335807697,0.07788210403455031,181.3990521216362,-0.06367434763973559,0.5305385092348207
backtest_1,mint_diagonal,lgbm_global,False,state,0.07621741725512583,0.07305787585607096,666.1837796196598,-0.06367434763973591,0.5030045726110052
backtest_1,mint_diagonal,lgbm_global,False,total,0.07621741725512583,0.07305787585607096,666.1837796196598,-0.06367434763973591,0.5030045726110052
backtest_1,mint_diagonal,lgbm_global,False,item,0.7453236621660257,0.5714979161125029,0.5341550267765324,-0.06367434763973584,0.8347121724483408
backtest_1,mint_oos,lgbm_global,False,department,0.11631540199509843,0.15203469989657165,36.3093956921842,-0.06367434763973585,0.625463127494701
backtest_1,mint_oos,lgbm_global,False,category,0.09740138041837364,0.09967690746061883,70.94531023235443,-0.06367434763973581,0.5755943093852204
backtest_1,mint_oos,lgbm_global,False,store,0.0830147335807697,0.07788210403455031,181.3990521216362,-0.06367434763973559,0.5305385092348207
backtest_1,mint_oos,lgbm_global,False,state,0.07621741725512583,0.07305787585607096,666.1837796196598,-0.06367434763973591,0.5030045726110052
backtest_1,mint_oos,lgbm_global,False,total,0.07621741725512583,0.07305787585607096,666.1837796196598,-0.06367434763973591,0.5030045726110052
backtest_1,mint_oos,lgbm_global,False,item,0.7453236621660257,0.5714979161125029,0.5341550267765324,-0.06367434763973584,0.8347121724483408
backtest_2,base,lgbm_global,True,department,0.09986876100588694,0.23929631517059088,31.489741321044995,0.007786567947018066,0.65647374512118
backtest_2,base,lgbm_global,True,category,0.08259703568774038,0.10619015926311719,60.76880241116718,0.000309325854556771,0.6110091563244091
backtest_2,base,lgbm_global,True,store,0.06566014995559344,0.07586946544082925,144.9236759787725,-0.0002922931706506086,0.5565475323939668
backtest_2,base,lgbm_global,True,state,0.05058025948823041,0.04895553111273084,446.55865951887534,0.016293274756022588,0.4264435744809704
backtest_2,base,lgbm_global,True,total,0.05058025948823041,0.04895553111273084,446.55865951887534,0.016293274756022588,0.4264435744809704
backtest_2,base,lgbm_global,True,item,0.7567970204428707,0.5730503111543735,0.5478472175934715,-0.04700399118522777,0.8419662374168957
backtest_2,bottom_up,lgbm_global,True,department,0.11518039767036051,0.2300810744383478,36.31767222666301,-0.047003991185227766,0.6836159337939582
backtest_2,bottom_up,lgbm_global,True,category,0.10112769190038383,0.11033403047938213,74.4022915135193,-0.04700399118522783,0.6515435807310075
backtest_2,bottom_up,lgbm_global,True,store,0.08282876447453957,0.08873801094680091,182.81787404610785,-0.04700399118522767,0.5724637854405424
backtest_2,bottom_up,lgbm_global,True,state,0.06618276314587555,0.06155621065267177,584.3087064540365,-0.0470039911852281,0.49715764242400623
backtest_2,bottom_up,lgbm_global,True,total,0.06618276314587555,0.06155621065267177,584.3087064540365,-0.0470039911852281,0.49715764242400623
backtest_2,bottom_up,lgbm_global,True,item,0.7567970204428707,0.5730503111543735,0.5478472175934715,-0.04700399118522777,0.8419662374168957
backtest_2,top_down,lgbm_global,True,department,0.12238600013017213,0.26884474931425845,38.5896795614529,0.01629327475602261,0.7500368104813143
backtest_2,top_down,lgbm_global,True,category,0.1057454449431932,0.14318200264787734,77.79969336826528,0.016293274756022495,0.6910884192269748
backtest_2,top_down,lgbm_global,True,store,0.0818542461754573,0.09219069713269194,180.66693813890842,0.016293274756022446,0.59282134272716
backtest_2,top_down,lgbm_global,True,state,0.05058025948822912,0.048955531112729635,446.558659518864,0.0162932747560216,0.42644357448096537
backtest_2,top_down,lgbm_global,True,total,0.05058025948822912,0.048955531112729635,446.558659518864,0.0162932747560216,0.42644357448096537
backtest_2,top_down,lgbm_global,True,item,0.7951176747406995,0.6070577065636443,0.5755876331425991,0.016293274756022588,0.8776681797447627
backtest_2,mint_diagonal,lgbm_global,True,department,0.10755302188273341,0.22889499356025678,33.91267502742249,-0.03515156981933893,0.6603179847501673
backtest_2,mint_diagonal,lgbm_global,True,category,0.09343168101433212,0.10749209554220875,68.7401347424612,-0.035151569819339014,0.6240231025457097
backtest_2,mint_diagonal,lgbm_global,True,store,0.07457743162789969,0.08068256641536473,164.6057090012796,-0.03515156981933926,0.5434594435566078
backtest_2,mint_diagonal,lgbm_global,True,state,0.056168023097299596,0.05153689881770289,495.89142791945886,-0.035151569819339146,0.45211809860377805
backtest_2,mint_diagonal,lgbm_global,True,total,0.056168023097299596,0.05153689881770289,495.89142791945886,-0.035151569819339146,0.45211809860377805
backtest_2,mint_diagonal,lgbm_global,True,item,0.7577782234396995,0.5752149941774957,0.548557512847267,-0.03515156981933894,0.841533029149881
backtest_2,mint_oos,lgbm_global,True,department,0.10426794164318384,0.22789321688075082,32.87685235454288,-0.030690961673475955,0.6510737389953706
backtest_2,mint_oos,lgbm_global,True,category,0.0898834199339644,0.10589249275998244,66.1295861349873,-0.03069096167347595,0.6145159834570469
backtest_2,mint_oos,lgbm_global,True,store,0.07126974409007188,0.07750125843892516,157.30505194680472,-0.03069096167347602,0.5350146921716246
backtest_2,mint_oos,lgbm_global,True,state,0.05264062414179717,0.04805213631337222,464.749030369601,-0.03069096167347668,0.4382526763357108
backtest_2,mint_oos,lgbm_global,True,total,0.05264062414179717,0.04805213631337222,464.749030369601,-0.03069096167347668,0.4382526763357108
backtest_2,mint_oos,lgbm_global,True,item,0.7570019178165344,0.5754998522099537,0.547995543304358,-0.030690961673475986,0.8399090097435729
backtest_3,base,lgbm_global,True,department,0.09722928745096929,0.14369087221690235,31.262874415460864,-0.0019385478281003536,0.5722122197756683
backtest_3,base,lgbm_global,True,category,0.07479013096899909,0.08635727529704845,56.11162964400482,-0.00920671655098078,0.49009207485816325
backtest_3,base,lgbm_global,True,store,0.06229467378025834,0.05895091941616774,140.21057131458315,-0.014127738730691146,0.41841683773833777
backtest_3,base,lgbm_global,True,state,0.046240960393579986,0.04478934191241012,416.30984361770743,-0.005974044813459624,0.3456101522989966
backtest_3,base,lgbm_global,True,total,0.046240960393579986,0.04478934191241012,416.30984361770743,-0.005974044813459624,0.3456101522989966
backtest_3,base,lgbm_global,True,item,0.7348093613172813,0.5623783322400022,0.5424342444019922,-0.03309905402502858,0.8229834702508325
backtest_3,bottom_up,lgbm_global,True,department,0.09919931761543924,0.140590220767933,31.896313240748476,-0.033099054025028565,0.5406664896282887
backtest_3,bottom_up,lgbm_global,True,category,0.08389212379120213,0.09427029039939368,62.940440392759186,-0.03309905402502859,0.4839095213172971
backtest_3,bottom_up,lgbm_global,True,store,0.0692120400619447,0.06867451442966145,155.77992611638714,-0.0330990540250284,0.42490997730163654
backtest_3,bottom_up,lgbm_global,True,state,0.03980302780453036,0.037449849480164075,358.3487916292478,-0.033099054025028544,0.29422070295630537
backtest_3,bottom_up,lgbm_global,True,total,0.03980302780453036,0.037449849480164075,358.3487916292478,-0.033099054025028544,0.29422070295630537
backtest_3,bottom_up,lgbm_global,True,item,0.7348093613172813,0.5623783322400022,0.5424342444019922,-0.03309905402502858,0.8229834702508325
backtest_3,top_down,lgbm_global,True,department,0.10565408906184727,0.1509514972719051,33.97176513801059,-0.0059740448134596325,0.6282884296372354
backtest_3,top_down,lgbm_global,True,category,0.08565511557764388,0.10167192946880747,64.26313285103615,-0.005974044813459727,0.55903047691989
backtest_3,top_down,lgbm_global,True,store,0.07121965662538457,0.06843501006232969,160.29859598427126,-0.005974044813459691,0.4936610743594116
backtest_3,top_down,lgbm_global,True,state,0.046240960393579916,0.04478934191241006,416.3098436177068,-0.005974044813458891,0.34561015229899933
backtest_3,top_down,lgbm_global,True,total,0.046240960393579916,0.04478934191241006,416.3098436177068,-0.005974044813458891,0.34561015229899933
backtest_3,top_down,lgbm_global,True,item,0.7594720619804627,0.588465647843434,0.5606401820279949,-0.005974044813459625,0.8447072269437472
backtest_3,mint_diagonal,lgbm_global,True,department,0.09611826981132067,0.13746370347619286,30.905640439440912,-0.028849527323547067,0.5297260556054133
backtest_3,mint_diagonal,lgbm_global,True,category,0.07965691753645049,0.09000110506221867,59.76295799296098,-0.028849527323547137,0.4681865603292904
backtest_3,mint_diagonal,lgbm_global,True,store,0.06618442928082653,0.06539858226096475,148.96549060242677,-0.028849527323547265,0.4092875246801071
backtest_3,mint_diagonal,lgbm_global,True,state,0.03928152868158385,0.036735914952005046,353.6537070879073,-0.028849527323548053,0.29204310946684675
backtest_3,mint_diagonal,lgbm_global,True,total,0.03928152868158385,0.036735914952005046,353.6537070879073,-0.028849527323548053,0.29204310946684675
backtest_3,mint_diagonal,lgbm_global,True,item,0.734718426747716,0.5630373898320353,0.542367116753477,-0.028849527323547054,0.8222511020563299
backtest_3,mint_oos,lgbm_global,True,department,0.09996816472139952,0.1370729540930264,32.143526515148416,-0.030089970944840515,0.5452845501973512
backtest_3,mint_oos,lgbm_global,True,category,0.08283999897981378,0.09105335863564737,62.1510790560293,-0.030089970944840592,0.48701495149442625
backtest_3,mint_oos,lgbm_global,True,store,0.07024836872597041,0.06903320487545851,158.11245673634477,-0.030089970944840543,0.4266955416989479
backtest_3,mint_oos,lgbm_global,True,state,0.04090617182159481,0.038134185470385704,368.28045631187996,-0.03008997094484152,0.30796620465562524
backtest_3,mint_oos,lgbm_global,True,total,0.04090617182159481,0.038134185470385704,368.28045631187996,-0.03008997094484152,0.30796620465562524
