fold,model,approach,level,wmape,mape,pinball_loss,bias,wrmsse
backtest_1,naive,bottom_up,department,0.36551222541841005,0.4658339816451049,114.09948979591837,0.34464892782426776,1.8335380904569003
backtest_1,naive,bottom_up,category,0.353683152458159,0.44700317127031314,257.61607142857144,0.34464892782426776,1.8965160428533507
backtest_1,naive,bottom_up,store,0.34779108917364016,0.396052385891625,759.9732142857143,0.34464892782426776,2.0187837575647296
backtest_1,naive,bottom_up,state,0.34464892782426776,0.37681578391798226,3012.4285714285716,0.34464892782426776,2.1235602809584537
backtest_1,naive,bottom_up,total,0.34464892782426776,0.37681578391798226,3012.4285714285716,0.34464892782426776,2.1235602809584537
backtest_1,naive,bottom_up,item,1.0685391605648535,1.003213222632169,0.76579557700417,0.34464892782426776,1.2344983754089802
backtest_1,seasonal_naive,bottom_up,department,0.13286970449790794,0.1935057696449583,41.47704081632653,-0.035033668933054395,0.7613914376972412
backtest_1,seasonal_naive,bottom_up,category,0.11055177824267783,0.12992350663039495,80.52380952380952,-0.035033668933054395,0.6896719616619663
backtest_1,seasonal_naive,bottom_up,store,0.08915320998953975,0.08975304035948255,194.8125,-0.035033668933054395,0.6178618253703485
backtest_1,seasonal_naive,bottom_up,state,0.07895855125523013,0.07973481491792597,690.1428571428571,-0.035033668933054395,0.5862500278375748
backtest_1,seasonal_naive,bottom_up,total,0.07895855125523013,0.07973481491792597,690.1428571428571,-0.035033668933054395,0.5862500278375748
backtest_1,seasonal_naive,bottom_up,item,0.8847288506799164,0.8449884488082253,0.6340632760155555,-0.035033668933054395,1.08326799753747
backtest_1,lgbm_global,bottom_up,department,0.124086629057147,0.15396906318633832,38.73528730730858,-0.0757249554471485,0.6555020284223971
backtest_1,lgbm_global,bottom_up,category,0.10597625859115664,0.10322253580714243,77.19108816239675,-0.07572495544714847,0.6115963792079838
backtest_1,lgbm_global,bottom_up,store,0.091513598294439,0.08551240526178118,199.97028564453416,-0.07572495544714854,0.5747296436035272
backtest_1,lgbm_global,bottom_up,state,0.0859830963869325,0.08274382743722748,751.5413956197253,-0.075724955447149,0.5546846378710266
backtest_1,lgbm_global,bottom_up,total,0.0859830963869325,0.08274382743722748,751.5413956197253,-0.075724955447149,0.5546846378710266
backtest_1,lgbm_global,bottom_up,item,0.7445625240126006,0.5696930154730758,0.5336095378951758,-0.07572495544714843,0.8357390789586692
backtest_1,lgbm_local,bottom_up,department,0.13781993472581386,0.15912296924109345,43.02232084828671,-0.09531537348980332,0.7138909526862804
backtest_1,lgbm_local,bottom_up,category,0.12239805573410337,0.11391358327102565,89.1524124051831,-0.0953153734898034,0.6860605444347202
backtest_1,lgbm_local,bottom_up,store,0.11015752206876904,0.10618680568659744,240.70992250912732,-0.09531537348980361,0.6674461875863299
backtest_1,lgbm_local,bottom_up,state,0.10275897387395262,0.09929666622434011,898.1721510719882,-0.09531537348980319,0.6473544050236402
backtest_1,lgbm_local,bottom_up,total,0.10275897387395262,0.09929666622434011,898.1721510719882,-0.09531537348980319,0.6473544050236402
backtest_1,lgbm_local,bottom_up,item,0.7464399956576714,0.5720072294995227,0.5349550753680242,-0.09531537348980336,0.8454777724421845
backtest_1,sarima,direct,department,0.10774807590455009,0.16156746539955186,33.63499120481629,-0.02205272042169013,0.6088209654381513
backtest_1,sarima,direct,category,0.08752817792980905,0.09988639799722526,63.753857600683766,-0.026923902024448585,0.543164332924575
backtest_1,sarima,direct,store,0.07195657815708417,0.07208774616604506,157.2354027843942,-0.026342850555316346,0.48961631254489724
backtest_1,sarima,direct,state,0.06512429031292459,0.06515979923085843,569.2235112151398,-0.021191711312231003,0.4472077176366866
backtest_1,sarima,direct,total,0.06512429031292459,0.06515979923085843,569.2235112151398,-0.021191711312231003,0.4472077176366866
backtest_1,prophet,direct,store,0.06298817124561519,0.06127690468447238,137.63815248184713,-0.032864675071500385,0.46784432255212416
backtest_1,prophet,direct,state,0.05233863937599064,0.04857029700698615,457.46961594008735,-0.03325115800781283,0.39476233359143703
backtest_1,prophet,direct,total,0.05233863937599064,0.04857029700698615,457.46961594008735,-0.03325115800781283,0.39476233359143703
backtest_2,naive,bottom_up,department,0.3464992475849905,0.515674946762524,109.25510204081633,0.3114593614990049,1.7981391816171977
backtest_2,naive,bottom_up,category,0.33577531107910874,0.40884498882193315,247.03869047619048,0.3114593614990049,1.853679259982441
backtest_2,naive,bottom_up,store,0.32561770845131954,0.3726676218734569,718.6964285714286,0.3114593614990049,1.9563592503206728
backtest_2,naive,bottom_up,state,0.3223693791362599,0.35205184924833144,2846.1071428571427,0.3114593614990049,2.058049642980173
backtest_2,naive,bottom_up,total,0.3223693791362599,0.35205184924833144,2846.1071428571427,0.3114593614990049,2.058049642980173
backtest_2,naive,bottom_up,item,1.0742504166599245,1.0066459486997994,0.7776525090193506,0.3114593614990049,1.2187478664095814
backtest_2,seasonal_naive,bottom_up,department,0.11734842478277051,0.274135673269259,37.00127551020408,-0.02595427258458601,0.7645362480053898
backtest_2,seasonal_naive,bottom_up,category,0.09822656591317293,0.1228663692786755,72.26785714285714,-0.02595427258458601,0.7044832548345659
backtest_2,seasonal_naive,bottom_up,store,0.07707399556641478,0.09157081907144447,170.11607142857142,-0.02595427258458601,0.6288167811058442
backtest_2,seasonal_naive,bottom_up,state,0.06698516205239398,0.06536125387372459,591.3928571428571,-0.02595427258458601,0.480847672485609
backtest_2,seasonal_naive,bottom_up,total,0.06698516205239398,0.06536125387372459,591.3928571428571,-0.02595427258458601,0.480847672485609
backtest_2,seasonal_naive,bottom_up,item,0.8934968689827025,0.849457666919789,0.6468045729278921,-0.02595427258458601,1.0936997469127165
backtest_2,lgbm_global,bottom_up,department,0.11518039767036051,0.2300810744383478,36.31767222666301,-0.047003991185227766,0.6836159337939582
backtest_2,lgbm_global,bottom_up,category,0.10112769190038383,0.11033403047938213,74.4022915135193,-0.04700399118522783,0.6515435807310075
backtest_2,lgbm_global,bottom_up,store,0.08282876447453957,0.08873801094680091,182.81787404610785,-0.04700399118522767,0.5724637854405424
backtest_2,lgbm_global,bottom_up,state,0.06618276314587555,0.06155621065267177,584.3087064540365,-0.0470039911852281,0.49715764242400623
backtest_2,lgbm_global,bottom_up,total,0.06618276314587555,0.06155621065267177,584.3087064540365,-0.0470039911852281,0.49715764242400623
backtest_2,lgbm_global,bottom_up,item,0.7567970204428707,0.5730503111543735,0.5478472175934715,-0.04700399118522777,0.8419662374168957
backtest_2,lgbm_local,bottom_up,department,0.12650636849418626,0.22977573818013966,39.888877955659204,-0.06258407790716101,0.7140602753707865
backtest_2,lgbm_local,bottom_up,category,0.11368843165351643,0.11894458167028323,83.64355672165439,-0.0625840779071611,0.6911597098605571
backtest_2,lgbm_local,bottom_up,store,0.09605756641422052,0.10369407028994525,212.01620221304435,-0.0625840779071612,0.6225926690763071
backtest_2,lgbm_local,bottom_up,state,0.07706381857438709,0.07269784498176156,680.3744359593851,-0.06258407790716083,0.5494644407441701
backtest_2,lgbm_local,bottom_up,total,0.07706381857438709,0.07269784498176156,680.3744359593851,-0.06258407790716083,0.5494644407441701
backtest_2,lgbm_local,bottom_up,item,0.7573953049061827,0.5763872932166588,0.5482803171825305,-0.062584077907161,0.8459335255670318
backtest_2,sarima,direct,department,0.09986876100588694,0.23929631517059088,31.489741321044995,0.007786567947018066,0.65647374512118
backtest_2,sarima,direct,category,0.08259703568774038,0.10619015926311719,60.76880241116718,0.000309325854556771,0.6110091563244091
backtest_2,sarima,direct,store,0.06566014995559344,0.07586946544082925,144.9236759787725,-0.0002922931706506086,0.5565475323939668
backtest_2,sarima,direct,state,0.05058025948823041,0.04895553111273084,446.55865951887534,0.016293274756022588,0.4264435744809704
backtest_2,sarima,direct,total,0.05058025948823041,0.04895553111273084,446.55865951887534,0.016293274756022588,0.4264435744809704
backtest_2,prophet,direct,store,0.07389013588170225,0.07867314226053604,163.0887245580386,-0.010579135245990771,0.5726814157358662
backtest_2,prophet,direct,state,0.0590411796926133,0.05622111123612062,521.2577065975992,-0.012035671393916363,0.4489676706016181
backtest_2,prophet,direct,total,0.0590411796926133,0.05622111123612062,521.2577065975992,-0.012035671393916363,0.4489676706016181
backtest_3,naive,bottom_up,department,0.295056637529727,0.3107646229840029,94.87181122448979,0.18270983456009965,1.5396455841966303
backtest_3,naive,bottom_up,category,0.2687044673335039,0.28236340015626354,201.5967261904762,0.18270983456009965,1.5099816260694419
backtest_3,naive,bottom_up,store,0.24957603670183331,0.26095015919648185,561.7366071428571,0.18270983456009965,1.5026110168360076
backtest_3,naive,bottom_up,state,0.2346882307788429,0.2588448025354336,2112.910714285714,0.18270983456009965,1.5223216785711067
backtest_3,naive,bottom_up,total,0.2346882307788429,0.2588448025354336,2112.910714285714,0.18270983456009965,1.5223216785711067
backtest_3,naive,bottom_up,item,1.0020667590956243,0.9257760656030934,0.739722918521295,0.18270983456009965,1.1878266168046836
backtest_3,seasonal_naive,bottom_up,department,0.12971194297172983,0.18357435294531943,41.70727040816327,0.0017870920778862726,0.7835357821740494
backtest_3,seasonal_naive,bottom_up,category,0.10129301367988242,0.10883659041126512,75.99553571428571,0.0017870920778862726,0.6726479067301486
backtest_3,seasonal_naive,bottom_up,store,0.0751947255990527,0.0734448788600146,169.24553571428572,0.0017870920778862726,0.5565889507885724
backtest_3,seasonal_naive,bottom_up,state,0.0625204543696484,0.05852421441835763,562.875,0.0017870920778862726,0.4767215846942727
backtest_3,seasonal_naive,bottom_up,total,0.0625204543696484,0.05852421441835763,562.875,0.0017870920778862726,0.4767215846942727
backtest_3,seasonal_naive,bottom_up,item,0.8970349345757689,0.8472168957282656,0.6621887152696434,0.0017870920778862726,1.1012771469225946
backtest_3,lgbm_global,bottom_up,department,0.09919931761543924,0.140590220767933,31.896313240748476,-0.033099054025028565,0.5406664896282887
backtest_3,lgbm_global,bottom_up,category,0.08389212379120213,0.09427029039939368,62.940440392759186,-0.03309905402502859,0.4839095213172971
backtest_3,lgbm_global,bottom_up,store,0.0692120400619447,0.06867451442966145,155.77992611638714,-0.0330990540250284,0.42490997730163654
backtest_3,lgbm_global,bottom_up,state,0.03980302780453036,0.037449849480164075,358.3487916292478,-0.033099054025028544,0.29422070295630537
backtest_3,lgbm_global,bottom_up,total,0.03980302780453036,0.037449849480164075,358.3487916292478,-0.033099054025028544,0.29422070295630537
backtest_3,lgbm_global,bottom_up,item,0.7348093613172813,0.5623783322400022,0.5424342444019922,-0.03309905402502858,0.8229834702508325
backtest_3,lgbm_local,bottom_up,department,0.1119122927097086,0.14856493101327942,35.98401309167506,-0.053790437226189015,0.5928382017318135
backtest_3,lgbm_local,bottom_up,category,0.09883128681520122,0.10513265841915208,74.14861414420656,-0.05379043722618895,0.5500735954846404
backtest_3,lgbm_local,bottom_up,store,0.08458265429772253,0.08635394551585018,190.37554196400475,-0.05379043722618887,0.49781492945323214
backtest_3,lgbm_local,bottom_up,state,0.05561331074813396,0.052512063782207165,500.6896159499544,-0.053790437226188474,0.40116806922913206
backtest_3,lgbm_local,bottom_up,total,0.05561331074813396,0.052512063782207165,500.6896159499544,-0.053790437226188474,0.40116806922913206
backtest_3,lgbm_local,bottom_up,item,0.7351317385819075,0.5679866022309342,0.5426722224098341,-0.05379043722618904,0.8314074129720124
backtest_3,sarima,direct,department,0.09722928745096929,0.14369087221690235,31.262874415460864,-0.0019385478281003536,0.5722122197756683
backtest_3,sarima,direct,category,0.07479013096899909,0.08635727529704845,56.11162964400482,-0.00920671655098078,0.49009207485816325
backtest_3,sarima,direct,store,0.06229467378025834,0.05895091941616774,140.21057131458315,-0.014127738730691146,0.41841683773833777
backtest_3,sarima,direct,state,0.046240960393579986,0.04478934191241012,416.30984361770743,-0.005974044813459624,0.3456101522989966
backtest_3,sarima,direct,total,0.046240960393579986,0.04478934191241012,416.30984361770743,-0.005974044813459624,0.3456101522989966
backtest_3,prophet,direct,store,0.060709668036325375,0.05915084939189678,136.64309840867054,-0.006830093436240258,0.414550037879562
backtest_3,prophet,direct,state,0.04842203817216201,0.04761274318757914,435.9462037017338,-0.005480339109827836,0.34802437949633674
backtest_3,prophet,direct,total,0.04842203817216201,0.04761274318757914,435.9462037017338,-0.005480339109827836,0.34802437949633674
holdout,naive,bottom_up,department,0.2900013431317996,0.3306196280695311,96.39030612244898,0.24572788149740007,1.6138521905514671
holdout,naive,bottom_up,category,0.27420995068787535,0.3159394224578774,212.66369047619048,0.24572788149740007,1.6329203296874517
holdout,naive,bottom_up,store,0.26833854596388895,0.2910701725183856,624.3303571428571,0.24572788149740007,1.6935629100988026
holdout,naive,bottom_up,state,0.25906709902718883,0.28823990894071183,2411.035714285714,0.24572788149740007,1.7888418890386075
holdout,naive,bottom_up,total,0.25906709902718883,0.28823990894071183,2411.035714285714,0.24572788149740007,1.7888418890386075
holdout,naive,bottom_up,item,1.0019110846748662,0.9486950691638745,0.7645451670336879,0.24572788149740007,1.1601494404184192
holdout,seasonal_naive,bottom_up,department,0.10334056066158835,0.1458881779862417,34.348214285714285,-0.043782259147686936,0.6141770338466378
holdout,seasonal_naive,bottom_up,category,0.08347372258572058,0.0985153683601396,64.73809523809524,-0.043782259147686936,0.5461034739201349
holdout,seasonal_naive,bottom_up,store,0.0689448740334248,0.06670669323657506,160.41071428571428,-0.043782259147686936,0.482402789066855
holdout,seasonal_naive,bottom_up,state,0.06032580539938984,0.06011751760412128,561.4285714285714,-0.043782259147686936,0.4333434406070789
holdout,seasonal_naive,bottom_up,total,0.06032580539938984,0.06011751760412128,561.4285714285714,-0.043782259147686936,0.4333434406070789
holdout,seasonal_naive,bottom_up,item,0.8749851296122186,0.8401074010789522,0.6676896406315889,-0.043782259147686936,1.05363935249353
holdout,lgbm_global,bottom_up,department,0.11310553503823612,0.12994464368116457,37.593885010125966,-0.06693262369547488,0.6393268999926474
