kind,name,is_served,fold,window,level,level_order,wmape,wrmsse,mape,bias
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,department,5,0.10774807590455009,0.6088209654381513,0.16156746539955186,-0.02205272042169013
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,category,4,0.08752817792980905,0.543164332924575,0.09988639799722526,-0.026923902024448585
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,store,3,0.07195657815708417,0.48961631254489724,0.07208774616604506,-0.026342850555316346
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,state,2,0.06512429031292459,0.4472077176366866,0.06515979923085843,-0.021191711312231003
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,total,1,0.06512429031292459,0.4472077176366866,0.06515979923085843,-0.021191711312231003
Reconciliation,SARIMA base (incoherent),False,backtest_1,backtest,item,6,0.7445625240126006,0.8357390789586692,0.5696930154730758,-0.07572495544714843
Reconciliation,Bottom-up,False,backtest_1,backtest,department,5,0.124086629057147,0.6555020284223971,0.15396906318633832,-0.0757249554471485
Reconciliation,Bottom-up,False,backtest_1,backtest,category,4,0.10597625859115664,0.6115963792079838,0.10322253580714243,-0.07572495544714847
Reconciliation,Bottom-up,False,backtest_1,backtest,store,3,0.091513598294439,0.5747296436035272,0.08551240526178118,-0.07572495544714854
Reconciliation,Bottom-up,False,backtest_1,backtest,state,2,0.0859830963869325,0.5546846378710266,0.08274382743722748,-0.075724955447149
Reconciliation,Bottom-up,False,backtest_1,backtest,total,1,0.0859830963869325,0.5546846378710266,0.08274382743722748,-0.075724955447149
Reconciliation,Bottom-up,False,backtest_1,backtest,item,6,0.7445625240126006,0.8357390789586692,0.5696930154730758,-0.07572495544714843
Reconciliation,Top-down,False,backtest_1,backtest,department,5,0.11836771915402179,0.6651864098674394,0.18930263353096957,-0.021191711312230983
Reconciliation,Top-down,False,backtest_1,backtest,category,4,0.0997598044599556,0.6044605427601434,0.12100505549945051,-0.021191711312231083
Reconciliation,Top-down,False,backtest_1,backtest,store,3,0.08473745738897799,0.5507527131163319,0.08564066432583022,-0.021191711312231184
Reconciliation,Top-down,False,backtest_1,backtest,state,2,0.06512429031292442,0.44720771763668754,0.06515979923085823,-0.021191711312230865
Reconciliation,Top-down,False,backtest_1,backtest,total,1,0.06512429031292442,0.44720771763668754,0.06515979923085823,-0.021191711312230865
Reconciliation,Top-down,False,backtest_1,backtest,item,6,0.774639289130739,0.8558551358920834,0.589542129878322,-0.021191711312231003
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,department,5,0.11631540199509843,0.625463127494701,0.15203469989657165,-0.06367434763973585
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,category,4,0.09740138041837364,0.5755943093852204,0.09967690746061883,-0.06367434763973581
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,store,3,0.0830147335807697,0.5305385092348207,0.07788210403455031,-0.06367434763973559
Reconciliation,"MinT, in-sample weights",True,backtest_1,backtest,state,2,0.07621741725512583,0.5030045726110052,0.07305787585607096,-0.06367434763973591
