node_id,demand_psi,residual_psi,reference_mean_daily,current_mean_daily,psi,drift,retrain,retrain_reasons,store_id,status
store:store_id=CA_1,0.009420715564498397,0.009447917619286188,4436.043956043956,4786.857142857143,0.009447917619286188,False,False,stable,CA_1,Stable
store:store_id=CA_2,0.031301492189322475,0.009564455596768755,3885.0384615384614,4747.142857142857,0.031301492189322475,False,False,stable,CA_2,Stable
store:store_id=CA_3,0.007952892243652003,0.003767884773998691,6286.758241758242,6262.857142857143,0.007952892243652003,False,False,stable,CA_3,Stable
store:store_id=CA_4,0.011954464296143233,0.012032256539912954,2466.813186813187,2816.3571428571427,0.012032256539912954,False,False,stable,CA_4,Stable
